city,lat,lon,date,controller,expected,source,note
Грозный,43.318,45.698,1991-09-06,ichkeria,not_empire,"Хроника первой российской войны в Чечне (Дош) 2026; Чечня 1990-1991: хроника и документы (Наследие) 2007","06.09.1991 ОКЧН захватил здание Верховного Совета ЧИАССР, Завгаев отказался от власти; советские органы республики перестали действовать - с этого дня в Грозном нет структур Москвы"
Грозный,43.318,45.698,1991-11-01,ichkeria,not_empire,"Указ Президента Чеченской Республики О государственном суверенитете Чеченской Республики 1991 (лист материалов); Дош 2026","27.10.1991 выборы президента и парламента; 01.11.1991 указ о государственном суверенитете; 09.11.1991 инаугурация Дудаева"
Грозный,43.318,45.698,1991-11-10,ichkeria,not_empire,"Десять дней которые отменили мир 2021 (Цыганок); Указ № 178 от 07.11.1991; Постановление ВС РСФСР № 1855-I от 11.11.1991","07.11 указ Ельцина о ЧП; внутренние войска блокированы на Ханкале; 10.11 утром ушли из Грозного; 11.11 депутаты в Москве указ не утвердили - попытка вернуть контроль провалилась"
Грозный,43.318,45.698,1992-01-25,ichkeria,not_empire,"Распоряжение Президента Чеченской Республики о прекращении платежей в бюджет Российской Федерации 1992 (плановый № 722)","платежи в бюджет РФ прекращены - фискального контроля Москвы нет"
Грозный,43.318,45.698,1992-03-31,ichkeria,not_empire,"Постановление Парламента Чеченской Республики О юрисдикции Чеченской Республики над воинскими частями 1992 (плановый № 721); Дош 2026 (Конституция ЧР 12.03.1992)","12.03.1992 Конституция ЧР; 31.03.1992 парламент объявил юрисдикцию над воинскими частями на своей территории; в тот же день провалилась попытка переворота, мятежники ушли в Надтеречный район"
Грозный,43.318,45.698,1992-06-08,ichkeria,not_empire,"Россия - Чечня - цепь ошибок и преступлений. 1994—1996 2010 (txt строка 649: «К 8 июня 1992 г. все федеральные войска покинули территорию»); Дош 2026 (26.05.1992 соглашение о выводе всех войск)","последние российские войска ушли из Чечни - с этого дня ни войск, ни администрации Москвы на территории ЧР (кроме Надтеречного района - см. второй файл)"
Назрань,43.226,44.766,1992-06-04,russia,empire,"Закон РФ № 2927-I Об образовании Ингушской Республики в составе Российской Федерации 1992; Мемориал 2010 txt 599-660","Ингушетия остаётся в РФ: вырез Ичкерии = современная Чечня; граница не была определена, Сунженский район фактически в составе ЧР (Мемориал) - для карты брать современную линию, спорное не рисовать"
Грозный,43.318,45.698,1994-12-11,russia_army,empire,"Россия - Чечня - цепь ошибок и преступлений. 1994—1996 2010; Указ Президента РФ № 2166 от 09.12.1994","11.12.1994 вторжение российской армии - конец выреза 1991-1994; дальше слой войны 1994-1996 (домен даст отдельно с кампанией)"
